,report_id,store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
2791,46,2782347163353428796,60,0,15,0,76,29
2792,46,2783264314630851304,60,0,5,0,30,0
2793,46,2784003477814363588,60,0,23,0,161,0
2794,46,2784741500325077446,,,11,0,77,0
2795,46,2785728619186191465,60,0,23,0,160,1
2796,46,2786793496389485572,,,2,0,53,2
2797,46,2787020355835455025,,,1,0,34,0
2798,46,2787667674282499399,60,0,23,0,161,0
2799,46,2787896858623769293,,,7,0,81,0
2800,46,2788526996376915850,60,0,23,0,117,44
2801,46,278905336815760718,,,11,0,89,0
2802,46,2789835417512749936,0,60,0,16,0,65
2803,46,2790188243792541721,,,0,3,0,44
2804,46,2790500572444856504,0,60,0,23,0,161
2805,46,2791193563302253697,,,0,7,0,63
2806,46,2791592335109254293,,,8,0,92,0
2807,46,2792168571159568841,48,12,23,0,160,1
2808,46,2792359975015806496,60,0,23,0,161,0
2809,46,2792853325861641382,,,9,0,63,0
2810,46,2793102892543988097,60,0,23,0,161,0
2811,46,2793153748670138014,0,60,0,17,0,119
2812,46,2793175823180226965,60,0,23,0,161,0
2813,46,2794668734436382699,60,0,8,0,56,0
2814,46,2794820674186199577,60,0,23,0,161,0
2815,46,2795381466610309067,,,0,9,15,48
2816,46,2795813457317920490,,,3,0,13,5
2817,46,2797081198334010827,,,11,0,71,0
2818,46,2797134052594719661,,,8,0,83,0
2819,46,2797708563560544780,60,0,14,0,94,0
2820,46,2798686191638942721,,,1,0,7,0
2821,46,2799307114157995983,60,0,23,0,160,1
2822,46,2799412755942795518,,,3,0,21,0
2823,46,2800262726601661714,60,0,8,0,71,0
2824,46,2801161018595246803,60,0,23,0,161,0
2825,46,2801407638455680690,,,10,0,70,0
2826,46,2803214099910329288,60,0,23,0,161,0
2827,46,2804032595320331573,,,10,0,70,0
2828,46,2804435898366535856,60,0,23,0,142,19
2829,46,2804674989494024786,60,0,17,0,119,0
2830,46,2805711609029712647,,,0,1,14,48
2831,46,280641348777919142,,,0,5,0,69
2832,46,2806983032994932221,,,12,0,83,0
2833,46,2807132390284902851,60,0,23,0,161,0
2834,46,2808170770979644998,60,0,16,0,112,0
2835,46,2810066666704159852,60,0,23,0,161,0
2836,46,2810290175073288531,60,0,17,0,119,0
2837,46,2810410644687880204,60,0,23,0,161,0
2838,46,2811106198462006775,0,60,0,23,0,161
2839,46,2811744046607504419,60,0,23,0,161,0
2840,46,2814764431103833726,60,0,23,0,161,0
2841,46,2815185340992803685,,,0,12,0,84
2842,46,2815407535593469571,60,0,23,0,88,9
2843,46,2816010346575914202,,,3,5,29,27
2844,46,2816562497742348474,,,4,10,46,51
2845,46,2816949564197140528,60,0,16,0,112,0
2846,46,28172236033614909,,,0,8,0,87
2847,46,2818090640109782819,,,2,0,14,0
2848,46,2818253147773594389,,,1,0,4,4
2849,46,2818605247827440910,60,0,23,0,161,0
2850,46,2819620032108319968,,,12,0,79,0
2851,46,2819692520530320363,60,0,10,0,85,0
2852,46,2819700347448798817,,,10,0,83,0
2853,46,2821097992950079956,60,0,23,0,148,13
2854,46,2821716218327194996,,,0,3,2,19
2855,46,2822784526370905029,,,4,0,47,0
2856,46,2823570362328364381,60,0,23,0,77,0
2857,46,2825817670836812339,,,12,0,89,0
2858,46,2826201898603825180,,,0,0,60,0
2859,46,2826305729045904662,60,0,23,0,161,0
2860,46,2826573078942383534,60,0,16,0,112,0
2861,46,2826673752016981039,,,,,3,18
2862,46,2826825204396511429,60,0,23,0,158,3
2863,46,2826891986735090666,60,0,23,0,161,0
2864,46,282961189894707970,,,10,0,70,0
2865,46,2830148524344610113,,,7,0,37,0
2866,46,2831654874351902476,60,0,23,0,151,0
2867,46,2831894024493323780,,,11,0,89,0
2868,46,2831900342879232622,0,60,0,23,0,161
2869,46,2832259099185214059,,,1,0,62,0
2870,46,2832740061824230978,,,11,0,91,0
2871,46,2832816835981192335,,,13,0,91,0
2872,46,2833183781529752876,60,0,17,0,119,0
